OperatorRef,LineName,JourneyRef
SCNE,35,43
TNXB,14,87
TFLO,238,56359
SCCM,3,3003
BNGN,V1,1103
TFLO,295,640360
SCNH,U1,96
TCVW,20A,354
TFLO,173,689823
SCNE,4,110
TFLO,295,640143
NATX,205,205308
TFLO,18,508099
BYCO,SF2,1500
SCGL,9,123
SCGL,55,89
TFLO,R2,275982
FHAM,2,120
TFLO,H10,669771
BRTB,mln,111825
SCCM,1,114
TNXB,2,154
ANEA,10,1155
SESX,C4,1510
ACYM,41,1326
TFLO,235,72287
FBRA,613,1018
BNGN,7,1090
TFLO,70,182134
SCEK,Loop,162
FHAL,549,1751
ANWE,282,1025
TCVW,20,203
FLEI,15,0806
OXBC,X1,4057
ARBB,7,1102
EYMS,105,1090
ARBB,A,1175
BLAC,75,1028
FECS,36A,136
SCNH,U1,83
SCNH,X17,59
LLCO,T2,1800
SYRK,226,60
TFLO,126,361624
TFLO,243,532355
SCEK,Loop,65
GLLN,9,1832
KDTR,67,7109
SCSO,71,66
SCSO,71,69
SCSO,6,52
NWPT,72,7208
TFLO,295,640550
TFLO,229,69090
FLDS,56,0539
ARBB,X9,1077
SESX,721,0715
SCNH,5,56
SCNH,4,119
SCMN,103,7055
SCMY,17,216
SCNH,14,8
BLAC,6,1075
SYRK,221,49
TFLO,189,537096
SCOX,TUBE,108
BNDB,29,1848
VISB,113,1930
DIAM,57,185
TFLO,153,558844
VECT,702,70255
SDVN,92,26
TFLO,92,262833
TNXB,X5,218
ARBB,4,1091
SSWL,T4,101
GHCT,558,1647
SCCM,5,98
TFLO,18,508655
TFLO,SL6,701862
EYMS,277,2711
OXBC,8,4107
TFLO,114,598942
WDBC,13,2010
WRAY,415,8428
BNVB,919,91519
AMID,48,1119
TFLO,19,405831
TFLO,236,302063
TNXB,32,338
FLDS,47,1700
SNDR,34,1615
SCNH,56,54
FSMR,U1,2103
TFLO,54,378269
SCMY,10A,90
DAGC,48,410
SCEM,5,4046
SCNH,X19,26
TFLO,650,
TFCN,21,30
SSWL,132,257
TNXB,18,124
SULV,303,102
CHLK,360,0640
SCNE,10,61
SCEM,8,4050
SESX,11,23
ARBB,4,1096
TFLO,296,543014
ARHE,725,1056
FBRI,T1,1855
TFLO,101,277963
GONW,2,1153
FCYM,4,2000A
SWWD,X5,1520
TFLO,296,542906
ANEA,64A,1074
SCCU,2X,53
PLYC,999,1222
SCEM,90,6012
SULV,84,65
TDTR,11,1206
FTVA,RA3,35
ANWE,247,1053
TFLO,296,543044
SCEK,Uni2,76
TFLO,282,66788
SCEK,11,830
NATX,040,140259
SCEK,Loop,175
FSMR,44,1733
NDTR,59,1822
FBRI,73,2115
SCMN,38,110
TFLO,321,271183
FBRI,T1,2040
TNXB,937,123
TFLO,297,662266
SCMN,312,7055
MDCL,213,1532
TFLO,244,77314
DGTR,86A,1700
WRAY,444,3381
ARHE,322,1086
SCEM,4A,1050
BNDB,525,2100
SCEM,350,6031
ALCG,999,DEAD
TFLO,483,383764
TFLO,H2,187371
UNIB,C1,81162
A2BR,31,VJ_32
TFLO,422,257620
FESX,C11,51
HAMS,297,1726
SCSO,76,53
TFLO,W8,
TFLO,207,227430
TFLO,422,257535
TFLO,422,257566
DIAM,76,34
FLEI,16,1915
OXBC,11X,4144
WRAY,203,2333
BLUS,14,1811
AMSY,495,1047
GNEL,307,777
WRAY,254,1390
FBRI,1,1945
SCEK,99,78
SYRK,74A,48
GLLN,25,25028
TFLO,333,608159
GHCT,558,1622
TFLO,65,590430
AKSS,101,1108
SYRK,221,517
CSLB,106,4032
ENSB,73,1730
SCGL,97,21
UNO,60,60014
SCMY,PR1,115
DIAM,4H,339
SCEM,5,47
METR,4,45
ARBB,7,1094
SCSO,1,151
BNGN,524,1140
FBRI,D1,1855
CSLB,1A,4116
OXBC,LHR,7103
PCCO,48,1803
LGEN,HE,59
HGCO,382,1735
CSLB,103,4124
NATX,436,436103
FCYM,X8,1852
TFLO,184,400039
ARHE,SB1,1091
TFLO,339,608402
TFLO,422,257740
SBS,875,1905
NUTT,24,1715CH
RBUS,2a,60
TFLO,422,257482
VECT,2X,2002
GNEL,R2,252
TFLO,147,24977
DIAM,54,49
FSYO,X78,1701C
SCNE,1,85
GNEL,4,4117
SCSO,200,261
SCNH,X4,1024
FCWL,T1,56
SESX,38A,1744
TFLO,192,52714
TFLO,15,291451
TNXB,11,156
FSMR,X50,1820
